source_field,source_value,sample_count,target_class,mapping_status,notes
product_type_name,Underwear bottom,0,:ClothingItem,needs_ontology_extension,"Underwear; no underwear class exists."
product_type_name,Underwear body,0,:ClothingItem,needs_ontology_extension,"Underwear; no underwear class exists."
product_type_name,Underwear set,0,:ClothingItem,needs_ontology_extension,"Underwear; no underwear class exists."
product_type_name,Kids Underwear top,0,:ClothingItem,needs_ontology_extension,"Underwear; no underwear class exists."
product_type_name,Long John,0,:ClothingItem,needs_ontology_extension,"Thermal underwear; no specific class."
product_type_name,Nipple covers,0,:ClothingItem,needs_ontology_extension,"Underwear accessory; no specific class."
product_type_name,Pyjama set,0,:ClothingItem,needs_ontology_extension,"Sleepwear set; no specific class."
product_type_name,Robe,0,:ClothingItem,needs_ontology_extension,"Sleepwear; no specific class."
product_type_name,Sleeping sack,0,:ClothingItem,needs_ontology_extension,"Sleepwear; no specific class."
product_type_name,Garment Set,0,:ClothingItem,broad_fallback,"Matched set of garments; no single role class applies."
product_type_name,Dungarees,0,:Bottom,broad_fallback,"Bib-and-brace overalls; lower/full-body garment closest to :Bottom."
product_type_name,Outdoor overall,0,:Outerwear,broad_fallback,"Full-body outerwear; closest to :Outerwear."
product_type_name,Outdoor Waistcoat,0,:Jacket,normalized,"Sleeveless outerwear; closest to :Jacket."
product_type_name,Hat/beanie,0,:Hat,normalized,"H&M combined type for hats and beanies; maps to :Hat."
product_type_name,Hat/brim,0,:Hat,normalized,"Brimmed hat; maps to :Hat."
product_type_name,Cap/peaked,0,:Hat,normalized,"Peaked/baseball cap; maps to :Hat."
product_type_name,Beanie,0,:Hat,normalized,"Knitted beanie; maps to :Hat."
product_type_name,Felt hat,0,:Hat,normalized,"Felt hat; maps to :Hat."
product_type_name,Hair/alice band,0,:Accessory,broad_fallback,"Hair accessory; maps to :Accessory."
product_type_name,Other accessories,0,:Accessory,broad_fallback,"Catch-all accessories; maps to :Accessory."
product_type_name,Earring,0,:Accessory,broad_fallback,"Jewellery; maps to :Accessory."
product_type_name,Necklace,0,:Accessory,broad_fallback,"Jewellery; maps to :Accessory."
product_type_name,Bracelet,0,:Accessory,broad_fallback,"Jewellery; maps to :Accessory."
product_type_name,Ring,0,:Accessory,broad_fallback,"Jewellery; maps to :Accessory."
product_type_name,Tie,0,:Accessory,broad_fallback,"Neckwear; maps to :Accessory."
product_type_name,Gloves,0,:Accessory,broad_fallback,"Hand accessory; maps to :Accessory."
product_type_name,Other shoe,0,:Footwear,broad_fallback,"Uncategorised footwear; maps to :Footwear."
product_type_name,Slippers,0,:Sandals,normalized,"Indoor open footwear; closest to :Sandals."
product_type_name,Pumps,0,:FormalShoes,normalized,"Heeled formal footwear; maps to :FormalShoes."
product_type_name,Heeled sandals,0,:Sandals,normalized,"Heeled open footwear; maps to :Sandals."
product_type_name,Wedge,0,:FormalShoes,normalized,"Wedge-heeled footwear; maps to :FormalShoes."
product_type_name,Bag,0,,out_of_scope,"Bags are outside the current clothing ontology scope."
product_type_name,Giftbox,0,,out_of_scope,"Retail packaging; out of scope."
product_type_name,Fine cosmetics,0,,out_of_scope,"Cosmetics are outside the clothing ontology scope."
product_type_name,Costumes,0,,out_of_scope,"Fancy dress costumes; out of scope."
product_type_name,Hair ties,0,:Accessory,broad_fallback,"Hair accessory; maps to :Accessory."
