article_id,colour_group_code,colour_group_name,department_name,department_no,detail_desc,garment_group_name,garment_group_no,graphical_appearance_name,graphical_appearance_no,index_code,index_group_name,index_group_no,index_name,perceived_colour_master_id,perceived_colour_master_name,perceived_colour_value_id,perceived_colour_value_name,prod_name,product_code,product_group_name,product_type_name,product_type_no,section_name,section_no
384851013,7,Grey,Basic 1,1643,"Short shorts in sweatshirt fabric with an elasticated drawstring waist, back pocket and contrasting colour trims.",Jersey Basic,1002,Melange,1010010,D,Divided,2,Divided,12,Grey,1,Dusty Light,Sage Shorts,384851,Garment Lower body,Shorts,274,Divided Basics,51
388573002,9,Black,Bags,3944,"H&M LOVES COACHELLA. Imitation leather belt with a large, embossed metal buckle. Width 2.5 cm.",Accessories,1019,Solid,1010016,D,Divided,2,Divided,5,Black,4,Dark,Wera western belt,388573,Accessories,Belt,67,Divided Accessories,52
392933006,10,White,Mama Lingerie,3705,"Soft, non-wired nursing bra in microfibre with lace details, opening, lightly padded cups with space for nursing pads, side support, adjustable shoulder straps and a wide hook-and-eye fastening at the back.","Under-, Nightwear",1017,Solid,1010016,B,Ladieswear,1,Lingeries/Tights,9,White,3,Light,Ida Padded bra (1),392933,Underwear,Bra,306,Womens Lingerie,61
395658033,43,Dark Red,Kids Girl Jersey Basic,7920,Joggers in sweatshirt fabric with an elasticated drawstring waist and ribbed hems.,Jersey Basic,1002,Solid,1010016,H,Baby/Children,4,Children Sizes 92-140,18,Red,4,Dark,MIA,395658,Garment Lower body,Trousers,272,Girls Underwear & Basics,79
396135065,10,White,Jersey Basic,1676,"Short shorts in sweatshirt fabric with an elasticated, drawstring jersey waistband, side pockets and rounded hems.",Jersey Basic,1002,Stripe,1010017,A,Ladieswear,1,Ladieswear,9,White,3,Light,Glamping,396135,Garment Lower body,Shorts,274,Womens Everyday Basics,16
399061019,51,Light Pink,Outwear,1201,"Fitted jacket in washed, stretch denim with buttons down the front, flap chest pockets with a button, and side pockets.",Outdoor,1007,Denim,1010023,A,Ladieswear,1,Ladieswear,4,Pink,1,Dusty Light,Jacket Slim (1),399061,Garment Upper body,Jacket,262,Womens Jackets,19
399223001,9,Black,Denim Trousers,1772,"Jeggings in washed, superstretch denim with a high waist, fake front pockets, real back pockets and skinny legs.",Trousers Denim,1016,Solid,1010016,D,Divided,2,Divided,5,Black,4,Dark,Curvy Jeggings HW Ankle,399223,Garment Lower body,Trousers,272,Ladies Denim,57
400456001,10,White,Baby basics,6515,"Long-sleeved bodysuits in soft, ribbed, organic cotton jersey with press-studs on one shoulder and at the crotch.",Jersey Basic,1002,Solid,1010016,G,Baby/Children,4,Baby Sizes 50-98,9,White,3,Light,LS Body Solid 2PACK,400456,Garment Upper body,Bodysuit,256,Baby Essentials & Complements,44
403479005,9,Black,Young Boy Jersey Basic,8768,"T-shirts in organic cotton jersey with a round, ribbed neckline.",Jersey Basic,1002,Solid,1010016,I,Baby/Children,4,Children Sizes 134-170,5,Black,4,Dark,BILLY Basic 2-p S/S r n BB,403479,Garment Upper body,T-shirt,255,Boys Underwear & Basics,72
405636031,9,Black,Young Boy Jersey Basic,8768,"Top in soft, organic cotton jersey with long raglan sleeves in a contrasting colour.",Jersey Basic,1002,Colour blocking,1010005,I,Baby/Children,4,Children Sizes 134-170,5,Black,4,Dark,JIMMY raglan l/s BB,405636,Garment Upper body,Top,254,Boys Underwear & Basics,72
408104020,19,Greenish Khaki,Denim wardrobe H&M man inactive from S.6,5679,"Shirt in premium cotton with a narrow turn-down collar and French front. Long sleeves, narrow cuffs with adjustable buttoning, a yoke at the back and a rounded hem. Slim fit with narrow shoulders and a tapered waist for a fitted silhouette.",Unknown,1001,Solid,1010016,F,Menswear,3,Menswear,20,Khaki green,2,Medium Dusty,TD Roger,408104,Garment Upper body,Shirt,259,Men Other 2,30
410424012,10,White,Young Girl UW/NW,7932,Jersey boxer briefs in a cotton blend with an elasticated waist and lined gusset.,"Under-, Nightwear",1017,All over pattern,1010001,I,Baby/Children,4,Children Sizes 134-170,9,White,3,Light,STINA fancy,410424,Underwear,Underwear bottom,286,Girls Underwear & Basics,79
413599003,31,Light Orange,Expressive Lingerie,1338,"Push-up bra in lace and mesh with underwired, moulded, padded cups for a larger bust and fuller cleavage, narrow adjustable shoulder straps and a narrow hook-and-eye fastening at the back.","Under-, Nightwear",1017,Solid,1010016,B,Ladieswear,1,Lingeries/Tights,3,Orange,1,Dusty Light,Bowie Push Mirny,413599,Underwear,Bra,306,Womens Lingerie,61
416511014,73,Dark Blue,Trousers,1747,"5-pocket jeans in washed stretch denim with a regular waist, zip fly and button, and super-skinny legs.",Trousers,1009,Solid,1010016,D,Divided,2,Divided,2,Blue,7,Medium,Julia Denim Petite Trs,416511,Garment Lower body,Trousers,272,Divided Collection,53
420963004,7,Grey,Young Girl UW/NW,7932,Pyjamas in soft jersey. Top with a motif on the front and long raglan sleeves. Bottoms with an elasticated waist.,"Under-, Nightwear",1017,Application/3D,1010002,I,Baby/Children,4,Children Sizes 134-170,12,Grey,1,Dusty Light,Kiev pj,420963,Nightwear,Pyjama set,297,Girls Underwear & Basics,79
423900049,43,Dark Red,Kids Girl S&T,7921,Jacquard-knit socks in various colours and designs.,Socks and Tights,1021,Other pattern,1010013,H,Baby/Children,4,Children Sizes 92-140,18,Red,7,Medium,Gullan 5-p ankle sock,423900,Socks & Tights,Socks,302,Girls Underwear & Basics,79
426609042,82,Turquoise,Men Sport Woven,8559,"Short-sleeved, patterned sports top in fast-drying, breathable functional fabric. Regular fit. The polyester content of the top is recycled.",Jersey Fancy,1005,All over pattern,1010001,S,Sport,26,Sport,7,Turquoise,7,Medium,Fancy correy,426609,Garment Upper body,T-shirt,255,Men H&M Sport,22
430757001,9,Black,Skirts,1444,Short skirt with a zip at the back. Lined.,Skirts,1012,Solid,1010016,D,Divided,2,Divided,5,Black,4,Dark,Cherry skirt,430757,Garment Lower body,Skirt,275,Divided Collection,53
434429007,7,Grey,Trouser,1722,5-pocket trousers in washed superstretch twill with a regular waist and slim legs.,Trousers,1009,Denim,1010023,A,Ladieswear,1,Ladieswear,12,Grey,2,Medium Dusty,Mimi superstretch s5,434429,Garment Lower body,Trousers,272,Womens Everyday Collection,15
441386001,9,Black,Jersey Fancy,5882,"Joggers in sweatshirt fabric with an elasticated drawstring waist, zipped side pockets, a low crotch and tapered legs with seams at the knees and ribbed hems.",Jersey Fancy,1005,Solid,1010016,F,Menswear,3,Menswear,5,Black,4,Dark,Jonte Skinny Jogger 24.99:-,441386,Garment Lower body,Trousers,272,Contemporary Street,55
443696010,73,Dark Blue,Young Boy Jersey Basic,8768,"Long-sleeved top in sweatshirt fabric made from an organic cotton blend with a lined hood, kangaroo pocket and ribbing at the cuffs and hem. Soft brushed inside.",Jersey Basic,1002,Solid,1010016,I,Baby/Children,4,Children Sizes 134-170,2,Blue,4,Dark,BO basic OH BB,443696,Garment Upper body,Hoodie,308,Boys Underwear & Basics,72
445400019,6,Light Grey,Young Boy UW/NW,4225,Pyjama T-shirt and shorts in soft cotton jersey. T-shirt with a print motif on the front and shorts with an elasticated waist.,"Under-, Nightwear",1017,All over pattern,1010001,I,Baby/Children,4,Children Sizes 134-170,12,Grey,1,Dusty Light,Johan s/l pj BB,445400,Nightwear,Pyjama set,297,Boys Underwear & Basics,72
447692024,42,Red,Basics,5868,"Long-sleeved top in thin sweatshirt fabric made from a cotton blend with ribbing around the neckline, cuffs and hem. Soft brushed inside.",Jersey Basic,1002,Solid,1010016,F,Menswear,3,Menswear,18,Red,7,Medium,Petar Sweater (1),447692,Garment Upper body,Sweater,252,Men Underwear,26
449099026,43,Dark Red,Men Sport Woven,8559,Knee-length sports shorts in fast-drying functional fabric with elastication and a concealed drawstring at the waist and a key pocket in the waistband. Unlined. Regular fit.,Jersey Fancy,1005,Solid,1010016,S,Sport,26,Sport,18,Red,4,Dark,HAL SHORTS,449099,Garment Lower body,Shorts,274,Men H&M Sport,22
449570054,9,Black,Men Sport Woven,8559,Sports top in fast-drying functional fabric with taped details and short raglan sleeves. Rounded and longer at the back.,Jersey Fancy,1005,All over pattern,1010001,S,Sport,26,Sport,5,Black,4,Dark,CLAY TEE,449570,Garment Upper body,T-shirt,255,Men H&M Sport,22
451271005,73,Dark Blue,Young Boy Trouser,8756,"Chinos in washed stretch cotton twill with an adjustable elasticated waist (in sizes 8-12Y), zip fly, side pockets, a coin pocket, fake back pockets and slim legs.",Trousers,1009,Solid,1010016,I,Baby/Children,4,Children Sizes 134-170,2,Blue,4,Dark,Oliver chinos,451271,Garment Lower body,Trousers,272,Young Boy,47
452618001,9,Black,Tights basic,3608,Leggings with an elasticated waist and smooth trim with overlocked seams at the hems. 60 denier.,Socks and Tights,1021,Solid,1010016,B,Ladieswear,1,Lingeries/Tights,5,Black,4,Dark,Clean Edge 60 den 1p Leggings,452618,Socks & Tights,Underwear Tights,304,"Womens Nightwear, Socks & Tigh",62
453065022,81,Light Turquoise,Young Girl S&T,7931,Fine-knit trainer socks with elasticated tops.,Socks and Tights,1021,Other pattern,1010013,I,Baby/Children,4,Children Sizes 134-170,7,Turquoise,1,Dusty Light,Eivor 7-p shaftless,453065,Socks & Tights,Socks,302,Girls Underwear & Basics,79
453358001,9,Black,Belts,3509,Narrow belt in imitation leather with a metal buckle. Width 2.5 cm.,Accessories,1019,Solid,1010016,C,Ladieswear,1,Ladies Accessories,5,Black,4,Dark,Dalia hip belt,453358,Accessories,Belt,67,Womens Big accessories,65
453765005,9,Black,Tops Knitwear DS,5963,"Cardigan in a soft, textured knit with a shawl collar and draped front. No fasteners.",Knitwear,1003,Solid,1010016,D,Divided,2,Divided,5,Black,4,Dark,Capri cardigan,453765,Garment Upper body,Cardigan,245,Divided Selected,58
456032016,9,Black,Jersey Fancy,5882,"Knee-length shorts in sweatshirt fabric with an elasticated drawstring waist, side pockets, a back pocket and raw-edge hems.",Jersey Fancy,1005,All over pattern,1010001,F,Menswear,3,Menswear,5,Black,4,Dark,Relax Shorts (1),456032,Garment Lower body,Shorts,274,Contemporary Street,55
457039006,51,Light Pink,Jersey,1919,Fitted top in soft jersey with a lace yoke with frills and short cap sleeves.,Jersey Fancy,1005,Lace,1010021,A,Ladieswear,1,Ladieswear,4,Pink,1,Dusty Light,Bernie top ED,457039,Garment Upper body,Top,254,H&M+,2
458428045,8,Dark Grey,Trouser,5683,"5-pocket jeans in washed stretch denim with a regular waist, button fly and skinny legs with quilted sections on the knees.",Trousers,1009,Denim,1010023,F,Menswear,3,Menswear,12,Grey,4,Dark,Cobra Constructed,458428,Garment Lower body,Trousers,272,Contemporary Street,55
461414010,53,Dark Pink,Premium Quality,3040,Soft loafers with soft heel caps so they can also be worn as slip-ons. Leather linings and insoles and rubber soles. Heel 2 cm.,Shoes,1020,Solid,1010016,C,Ladieswear,1,Ladies Accessories,4,Pink,5,Bright,OL LINUS PQ loafer,461414,Shoes,Flat shoe,144,Womens Shoes,64
463601013,10,White,Young Girl Jersey Basic,7930,Long-sleeved tops in soft jersey made from a modal and cotton blend.,Jersey Basic,1002,Stripe,1010017,I,Baby/Children,4,Children Sizes 134-170,9,White,3,Light,TUNIS ls 2p (1),463601,Garment Upper body,T-shirt,255,Girls Underwear & Basics,79
464679016,9,Black,Functional Lingerie,3710,"Bras in cotton jersey with underwired, padded cups that shape the bust and provide extra-firm support. Wide, adjustable shoulder straps and a hook-and-eye fastening at the back.","Under-, Nightwear",1017,Solid,1010016,B,Ladieswear,1,Lingeries/Tights,5,Black,4,Dark,HM+ Kim 2p padded,464679,Underwear,Bra,306,Womens Lingerie,61
466595019,17,Yellowish Brown,Trouser,5686,"Chinos in washed stretch cotton twill with a zip fly, side pockets and welt back pockets. Slim fit which is relaxed over the thighs and tapers from the knees down for a relaxed, well-tailored look.",Trousers,1009,Solid,1010016,F,Menswear,3,Menswear,13,Brown,4,Dark,Rawley chinos,466595,Garment Lower body,Trousers,272,Contemporary Smart,20
468345021,8,Dark Grey,Basics,5868,"Short-sleeved polo shirt in stretch, cotton-blend jersey with a collar and button placket. Slim fit.",Jersey Basic,1002,Melange,1010010,F,Menswear,3,Menswear,-1,Unknown,4,Dark,PETER SLIM FIT POLO,468345,Garment Upper body,Polo shirt,257,Men Underwear,26
469562013,7,Grey,Woven bottoms,2031,"Jeans in washed, stretch denim with fake front pockets, real back pockets and skinny legs. Wide ribbing at the waist for best fit over the tummy.",Trousers,1009,Denim,1010023,A,Ladieswear,1,Ladieswear,12,Grey,2,Medium Dusty,Skinny denim (1),469562,Garment Lower body,Trousers,272,Mama,8
470985008,6,Light Grey,Sneakers,3828,Trainers in cotton canvas with lacing at the front and a loop at the back. Cotton linings and insoles and thermoplastic rubber (TPR) soles.,Shoes,1020,Solid,1010016,C,Ladieswear,1,Ladies Accessories,12,Grey,1,Dusty Light,Vaughan sneaker,470985,Shoes,Sneakers,94,Womens Shoes,64
473034001,10,White,Newborn,6564,Short-sleeved wrapover bodysuits in soft organic cotton jersey with press-studs at the side and crotch.,Jersey Fancy,1005,Solid,1010016,G,Baby/Children,4,Baby Sizes 50-98,9,White,3,Light,ALGOT S/S 2-p body,473034,Garment Upper body,Bodysuit,256,Baby Essentials & Complements,44
474471012,23,Dark Yellow,Shorts,5687,Long 5-pocket shorts in cotton twill with a regular waist and slightly lower crotch.,Shorts,1025,Solid,1010016,F,Menswear,3,Menswear,8,Yellow,4,Dark,JONES 5-PKT SHORTS,474471,Garment Lower body,Shorts,274,Contemporary Smart,20
476583020,10,White,Basic 1,1643,"Fitted, cropped top in jersey made from a cotton blend.",Jersey Basic,1002,Dot,1010006,D,Divided,2,Divided,9,White,3,Light,Maddy V-neck Tee,476583,Garment Upper body,T-shirt,255,Divided Basics,51
478298002,6,Light Grey,Hair Accessories,4343,Hairbands in elasticated cotton jersey.,Accessories,1019,Solid,1010016,C,Ladieswear,1,Ladies Accessories,12,Grey,1,Dusty Light,2p jersey headband,478298,Accessories,Hair/alice band,74,Womens Small accessories,66
479167004,10,White,Functional Lingerie,3710,"Bra in soft microfibre with underwired, moulded, thickly padded cups to maximise the bust and create a fuller cleavage. Detachable, adjustable shoulder straps and a silicone trim at the back to hold the bra in place. Wide hook-and-eye fastening at the back.","Under-, Nightwear",1017,Solid,1010016,B,Ladieswear,1,Lingeries/Tights,9,White,3,Light,Stevie strapless superpush,479167,Underwear,Bra,306,Womens Lingerie,61
480627011,9,Black,Kids Girl Jersey Basic,7920,Leggings in sturdy jersey made from an organic cotton blend with an elasticated waist and a glitter print.,Jersey Basic,1002,Glittering/Metallic,1010009,H,Baby/Children,4,Children Sizes 92-140,5,Black,4,Dark,NIKE FANCY,480627,Garment Lower body,Leggings/Tights,273,Girls Underwear & Basics,79
481781008,42,Red,Sunglasses,8888,"Round sunglasses with metal and plastic frames and tinted, UV-protective lenses.",Accessories,1019,Solid,1010016,C,Ladieswear,1,Ladies Accessories,18,Red,2,Medium Dusty,Malin sunglasses,481781,Accessories,Sunglasses,81,Womens Small accessories,66
482638003,3,Silver,Divided Shoes,3929,Sandals with an adjustable strap around the heel. Imitation suede insoles and rubber soles.,Shoes,1020,Solid,1010016,D,Divided,2,Divided,15,Metal,3,Light,DAISY SANDAL,482638,Shoes,Sandals,91,Divided Accessories,52
483737006,51,Light Pink,Kids Girl Jersey Basic,7920,Skirt in soft velour with an elasticated waist and flare to the hem.,Jersey Basic,1002,Solid,1010016,H,Baby/Children,4,Children Sizes 92-140,4,Pink,3,Light,CELIA skirt (1),483737,Garment Lower body,Skirt,275,Girls Underwear & Basics,79
484767008,12,Light Beige,Kids Girl Trouser,7617,"Treggings in stretch corduroy with an adjustable elasticated waist, fake front pockets and real back pockets.",Trousers,1009,Glittering/Metallic,1010009,H,Baby/Children,4,Children Sizes 92-140,11,Beige,1,Dusty Light,Rhino Cord,484767,Garment Lower body,Trousers,272,Kids Girl,76
485539036,73,Dark Blue,Kids Boy UW/NW,4215,"Boxer shorts in cotton jersey with short legs, an elasticated waist and lined front. The cotton content of the boxer shorts is organic.","Under-, Nightwear",1017,Stripe,1010017,H,Baby/Children,4,Children Sizes 92-140,2,Blue,4,Dark,Daniel 3-p boxer SB,485539,Underwear,Underwear bottom,286,Boys Underwear & Basics,72
